epsilon,amsgrad,beta_2,beta_1,epoch_accuracy,epoch_accuracy,epoch_loss,epoch_loss
5e-08,0.0,0.99,0.5,0.29863280057907104,0.29951173067092896,2.5107412338256836,2.4977328777313232
1e-10,0.0,0.995,0.6,0.2935546934604645,0.30564454197883606,2.520845890045166,2.4405362606048584
1e-10,0.0,0.995,0.6,0.29300782084465027,0.30341798067092896,2.5451369285583496,2.4729487895965576
5e-09,0.0,0.995,0.6,0.29078125953674316,0.30271485447883606,2.5401315689086914,2.479515790939331
1e-06,1.0,0.995,0.7,0.29050782322883606,0.30140626430511475,2.533280849456787,2.4671595096588135
1e-10,0.0,0.995,0.6,0.2891796827316284,0.30417969822883606,2.537226438522339,2.4540061950683594
1e-06,1.0,0.999,0.7,0.28910157084465027,0.29667967557907104,2.537097215652466,2.4819910526275635
1e-06,1.0,0.995,0.7,0.2890625,0.30085936188697815,2.53644061088562,2.4635467529296875
1e-06,1.0,0.995,0.7,0.2886718809604645,0.30308592319488525,2.530050277709961,2.46248722076416
1e-06,1.0,0.9999,0.5,0.28816404938697815,0.2954687476158142,2.537207841873169,2.4906070232391357
5e-10,0.0,0.995,0.6,0.28800782561302185,0.3019726574420929,2.550046443939209,2.4798007011413574
1e-10,0.0,0.995,0.6,0.28707030415534973,0.30250000953674316,2.548586368560791,2.4756035804748535
1e-10,0.0,0.995,0.5,0.2869921922683716,0.30078125,2.558790683746338,2.4809184074401855
1e-06,1.0,0.995,0.7,0.2869531214237213,0.30003905296325684,2.5286831855773926,2.4577291011810303
1e-06,1.0,0.995,0.7,0.2867968678474426,0.3033398389816284,2.543827533721924,2.462414503097534
1e-10,0.0,0.995,0.7,0.2862890660762787,0.2999218702316284,2.5603463649749756,2.478971481323242
1e-06,1.0,0.995,0.7,0.28609374165534973,0.3016601502895355,2.5354342460632324,2.469257354736328
1e-06,1.0,0.995,0.7,0.28593748807907104,0.29890623688697815,2.538809061050415,2.4845309257507324
1e-06,1.0,0.995,0.7,0.28480470180511475,0.30369141697883606,2.539346218109131,2.4648938179016113
1e-10,0.0,0.995,0.6,0.28371092677116394,0.3063281178474426,2.5473554134368896,2.4688498973846436
5e-06,1.0,0.995,0.9,0.2827734351158142,0.2967187464237213,2.5615150928497314,2.484844923019409
1e-10,1.0,0.995,0.7,0.2825390696525574,0.2947461009025574,2.5500011444091797,2.4948482513427734
1e-06,1.0,0.995,0.7,0.28246092796325684,0.29468750953674316,2.5616567134857178,2.4947829246520996
5e-07,1.0,0.995,0.975,0.28160154819488525,0.2952929735183716,2.554678201675415,2.4931282997131348
1e-09,0.0,0.9,0.5,0.2810937464237213,0.2889648377895355,2.7608416080474854,2.706101179122925
5e-07,0.0,0.9,0.6,0.28089845180511475,0.2919921875,2.7490193843841553,2.6864821910858154
1e-06,1.0,0.995,0.7,0.2807031273841858,0.29832032322883606,2.5610907077789307,2.476130723953247
1e-06,1.0,0.995,0.7,0.2790234386920929,0.2903124988079071,2.583555221557617,2.533247947692871
1e-06,1.0,0.995,0.7,0.2789062559604645,0.30070313811302185,2.559556484222412,2.4732933044433594
1e-06,0.0,0.9,0.95,0.2774609327316284,0.2930273413658142,2.6621804237365723,2.58479380607605
1e-08,0.0,0.9,0.9,0.2769531309604645,0.29201170802116394,2.71860408782959,2.640626907348633
1e-08,0.0,0.9,0.95,0.2760937511920929,0.2916796803474426,2.660456657409668,2.5866575241088867
1e-07,0.0,0.9999,0.99,0.27210938930511475,0.2842968702316284,2.6184639930725098,2.557380437850952
1e-06,1.0,0.9999,0.7,0.26558592915534973,0.27812498807907104,2.6464626789093018,2.5989830493927
1e-06,1.0,0.995,0.7,0.26164063811302185,0.27779296040534973,2.686129093170166,2.5974411964416504
