activation,epoch_accuracy,epoch_accuracy,epoch_loss,epoch_loss,evaluation_accuracy_vs_iterations
elu,0.27443359792232513,0.28754882514476776,2.6501317024230957,2.565203309059143,0.28754882514476776
elu,0.2741992175579071,0.2880859375,2.6431949138641357,2.5627228021621704,0.2880859375
elu,0.2741406261920929,0.285400390625,2.6384167671203613,2.588691830635071,0.285400390625
silu,0.27394531667232513,0.27802734076976776,2.6751465797424316,2.6257035732269287,0.27802734076976776
elu,0.2735546976327896,0.285888671875,2.6441447734832764,2.5861032009124756,0.285888671875
selu,0.2730468809604645,0.2822265625,2.653293013572693,2.57288920879364,0.2822265625
elu,0.27244140207767487,0.2830566465854645,2.6492315530776978,2.5840537548065186,0.2830566465854645
selu,0.27097655832767487,0.2864746153354645,2.64663028717041,2.573176145553589,0.2864746153354645
silu,0.27064453065395355,0.2821289151906967,2.7038393020629883,2.6399989128112793,0.2821289151906967
linear,0.26982422173023224,0.284423828125,2.635146141052246,2.5680174827575684,0.284423828125
linear,0.2693164050579071,0.2791992127895355,2.6392557621002197,2.5775240659713745,0.2791992127895355
linear,0.26874999701976776,0.27729491889476776,2.654762864112854,2.582764983177185,0.27729491889476776
gelu,0.2686523497104645,0.28046876192092896,2.724249839782715,2.6444592475891113,0.28046876192092896
gelu,0.2686523348093033,0.2803710848093033,2.7155221700668335,2.6561384201049805,0.2803710848093033
elu,0.2679687440395355,0.27802734076976776,2.6653143167495728,2.6030116081237793,0.27802734076976776
linear,0.26685546338558197,0.282470703125,2.6633987426757812,2.5841238498687744,0.282470703125
silu,0.2654492110013962,0.2882324159145355,2.703106999397278,2.608162760734558,0.2882324159145355
tanh,0.26484374701976776,0.269287109375,2.7099872827529907,2.667214870452881,0.269287109375
gelu,0.26429687440395355,0.28168945014476776,2.7268786430358887,2.6417585611343384,0.28168945014476776
tanh,0.26169922947883606,0.27250976860523224,2.7253284454345703,2.6609352827072144,0.27250976860523224
tanh,0.25826171040534973,0.2672363221645355,2.735849142074585,2.682493209838867,0.2672363221645355
tanh,0.2579296827316284,0.2674316465854645,2.7332687377929688,2.6875076293945312,0.2674316465854645
tanh,0.2577539086341858,0.27202148735523224,2.7344822883605957,2.660683512687683,0.27202148735523224
leaky_relu,0.2566601634025574,0.266357421875,2.7791876792907715,2.722311496734619,0.266357421875
leaky_relu,0.25437501072883606,0.2711425721645355,2.7927366495132446,2.7061102390289307,0.2711425721645355
relu6,0.2525390610098839,0.263427734375,2.8190970420837402,2.7697046995162964,0.263427734375
relu6,0.25246094167232513,0.265380859375,2.8069915771484375,2.7112094163894653,0.265380859375
softplus,0.22767578065395355,0.23662109673023224,2.9618111848831177,2.89512300491333,0.23662109673023224
smelu,0.2248828113079071,0.23256835341453552,3.0290578603744507,2.974605679512024,0.23256835341453552
smelu,0.22197265923023224,0.2314453125,3.047059178352356,2.9831773042678833,0.2314453125
softplus,0.21458984166383743,0.22998046875,3.035519242286682,2.9364627599716187,0.22998046875
smelu,0.19666015356779099,0.20180663466453552,3.2623645067214966,3.185266375541687,0.20180663466453552
log_softmax,0.16499999910593033,0.17524413764476776,3.817928671836853,3.763588786125183,0.17524413764476776
log_softmax,0.16046874970197678,0.17353515326976776,3.850906729698181,3.8497469425201416,0.17353515326976776
log_softmax,0.15968749672174454,0.16777344048023224,3.861376404762268,3.746084451675415,0.16777344048023224
hard_sigmoid,0.12123046815395355,0.13017578423023224,4.063754558563232,3.9874755144119263,0.13017578423023224
hard_sigmoid,0.09425780922174454,0.09624023735523224,4.4541099071502686,4.377037167549133,0.09624023735523224
sigmoid,0.08984375279396772,0.09111328283324838,5.0851099491119385,5.0480111837387085,0.09111328283324838
sigmoid,0.08542968519032001,0.09223633073270321,4.816046476364136,4.7295684814453125,0.09223633073270321
sigmoid,0.013652343768626451,0.014306640718132257,6.55282998085022,6.569800615310669,0.014306640718132257
softmax,0.013144531287252903,0.014355469029396772,6.566183090209961,6.57717227935791,0.014355469029396772
